SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.2903225806451613, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2661290322580645, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.31451612903225806, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.2903225806451613, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.23387096774193547, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.20967741935483872, 0.232
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.33064516129032256, 0.352
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.27419354838709675, 0.24
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.22580645161290322, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.27419354838709675, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2661290322580645, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.3225806451612903, 0.36
