SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.3064516129032258, 0.344
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3387096774193548, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3467741935483871, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.3225806451612903, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.3064516129032258, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.24193548387096775, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.22580645161290322, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.31451612903225806, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.20967741935483872, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.2661290322580645, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3387096774193548, 0.352
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3548387096774194, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.25, 0.192
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.3064516129032258, 0.304
